context_length,alpha,beta,adapt,chars_processed,time_microsec,bpc
7,49,77,0,71000000,19843684,0
7,49,77,0,71500000,19982584,0
7,49,77,0,72000000,20121068,0
7,49,77,0,72500000,20260489,0
7,49,77,0,73000000,20400940,0
7,49,77,0,73500000,20541510,0
7,49,77,0,74000000,20680548,0
7,49,77,0,74500000,20818345,0
7,49,77,0,75000000,20957525,0
7,49,77,0,75500000,21096454,0
7,49,77,0,76000000,21235207,0
7,49,77,0,76500000,21372609,0
7,49,77,0,77000000,21510224,0
7,49,77,0,77500000,21646646,0
7,49,77,0,78000000,21784684,0
7,49,77,0,78500000,21924137,0
7,49,77,0,79000000,22065480,0
7,49,77,0,79500000,22203957,0
7,49,77,0,80000000,22342747,0
7,49,77,0,80500000,22482506,0
7,49,77,0,81000000,22624155,0
7,49,77,0,81500000,22763798,0
7,49,77,0,82000000,22902251,0
7,49,77,0,82500000,23042615,0
7,49,77,0,83000000,23182293,0
7,49,77,0,83500000,23321981,0
7,49,77,0,84000000,23460562,0
7,49,77,0,84500000,23598550,0
7,49,77,0,85000000,23736754,0
7,49,77,0,85500000,23876096,0
7,49,77,0,86000000,24015970,0
7,49,77,0,86500000,24153224,0
7,49,77,0,87000000,24292105,0
7,49,77,0,87500000,24431364,0
7,49,77,0,88000000,24569140,0
7,49,77,0,88500000,24706261,0
7,49,77,0,89000000,24845520,0
7,49,77,0,89500000,24981336,0
7,49,77,0,90000000,25120079,0
7,49,77,1,500000,153958,0
7,49,77,1,1000000,303916,0
7,49,77,1,1500000,451963,0
7,49,77,1,2000000,597897,0
7,49,77,1,2500000,745324,0
7,49,77,1,3000000,894024,0
7,49,77,1,3500000,1038919,0
7,49,77,1,4000000,1184214,0
7,49,77,1,4500000,1328915,0
7,49,77,1,5000000,1470549,0
7,49,77,1,5500000,1612743,0
7,49,77,1,6000000,1753113,0
7,49,77,1,6500000,1895003,0
7,49,77,1,7000000,2036211,0
7,49,77,1,7500000,2176002,0
7,49,77,1,8000000,2315451,0
7,49,77,1,8500000,2456036,0
7,49,77,1,9000000,2593963,0
7,49,77,1,9500000,2732184,0
7,49,77,1,10000000,2870221,0
7,49,77,1,10500000,3008397,0
7,49,77,1,11000000,3147967,0
7,49,77,1,11500000,3285011,0
7,49,77,1,12000000,3422102,0
7,49,77,1,12500000,3564127,0
7,49,77,1,13000000,3701889,0
7,49,77,1,13500000,3839826,0
7,49,77,1,14000000,3977561,0
7,49,77,1,14500000,4116735,0
7,49,77,1,15000000,4255712,0
7,49,77,1,15500000,4394342,0
7,49,77,1,16000000,4530648,0
7,49,77,1,16500000,4669261,0
7,49,77,1,17000000,4806053,0
7,49,77,1,17500000,4941108,0
7,49,77,1,18000000,5077140,0
7,49,77,1,18500000,5215806,0
7,49,77,1,19000000,5352028,0
7,49,77,1,19500000,5488013,0
7,49,77,1,20000000,5625861,0
7,49,77,1,20500000,5763071,0
7,49,77,1,21000000,5899619,0
7,49,77,1,21500000,6037775,0
7,49,77,1,22000000,6172651,0
7,49,77,1,22500000,6307242,0
7,49,77,1,23000000,6442542,0
7,49,77,1,23500000,6579375,0
7,49,77,1,24000000,6718765,0
7,49,77,1,24500000,6854259,0
7,49,77,1,25000000,6992757,0
7,49,77,1,25500000,7129287,0
7,49,77,1,26000000,7265785,0
7,49,77,1,26500000,7403022,0
7,49,77,1,27000000,7540113,0
7,49,77,1,27500000,7675588,0
7,49,77,1,28000000,7811691,0
7,49,77,1,28500000,7949113,0
7,49,77,1,29000000,8085837,0
7,49,77,1,29500000,8218002,0
7,49,77,1,30000000,8351232,0
7,49,77,1,30500000,8487563,0
7,49,77,1,31000000,8621373,0
7,49,77,1,31500000,8755985,0
7,49,77,1,32000000,8891294,0
7,49,77,1,32500000,9023997,0
7,49,77,1,33000000,9158672,0
