context_length,alpha,beta,adapt,pretrain,bpc,time_microsec
7,73,57,1,1,2.15578,139189149
7,73,65,0,1,2.19178,138705691
7,73,65,1,1,2.15388,139240741
7,73,73,0,1,2.19028,138819149
7,73,73,1,1,2.1534,139461517
7,73,81,0,1,2.19115,138925132
7,73,81,1,1,2.15463,139292156
7,73,89,0,1,2.19462,138602743
7,73,89,1,1,2.15889,139423239
7,73,97,0,1,2.20532,138991454
7,73,97,1,1,2.17034,139416631
7,81,1,0,1,2.25662,138703744
7,81,1,1,1,2.2085,139496756
7,81,9,0,1,2.23921,138764586
7,81,9,1,1,2.19358,139294829
7,81,17,0,1,2.22678,138725053
7,81,17,1,1,2.18256,139265338
7,81,25,0,1,2.21696,138650840
7,81,25,1,1,2.17396,139553430
7,81,33,0,1,2.20907,139384922
7,81,33,1,1,2.16726,139326686
7,81,41,0,1,2.2026,138549074
7,81,41,1,1,2.16198,139348199
7,81,49,0,1,2.19744,139011552
7,81,49,1,1,2.15796,139332366
7,81,57,0,1,2.1934,138907601
7,81,57,1,1,2.15498,139441345
7,81,65,0,1,2.19093,141737549
7,81,65,1,1,2.15327,139226768
7,81,73,0,1,2.18963,138639220
7,81,73,1,1,2.15296,139326357
7,81,81,0,1,2.19065,138569116
7,81,81,1,1,2.15423,139194589
7,81,89,0,1,2.19418,138855484
7,81,89,1,1,2.15856,139244537
7,81,97,0,1,2.20482,138597700
7,81,97,1,1,2.16999,139512630
7,89,1,0,1,2.2522,138752168
7,89,1,1,1,2.20467,139122724
7,89,9,0,1,2.23588,138580517
7,89,9,1,1,2.19077,139501150
7,89,17,0,1,2.22415,138988775
7,89,17,1,1,2.18034,139341953
7,89,25,0,1,2.21484,138659943
7,89,25,1,1,2.17222,139426280
7,89,33,0,1,2.20728,139085361
7,89,33,1,1,2.16586,139271667
7,89,41,0,1,2.20118,138572659
7,89,41,1,1,2.16086,139302107
7,89,49,0,1,2.19628,138660037
7,89,49,1,1,2.15706,139180880
7,89,57,0,1,2.19246,138858532
7,89,57,1,1,2.15423,139518785
7,89,65,0,1,2.19014,138565319
7,89,65,1,1,2.1527,139375050
7,89,73,0,1,2.189,138994525
7,89,73,1,1,2.1525,139109708
7,89,81,0,1,2.19013,138690019
7,89,81,1,1,2.15385,139614126
7,89,89,0,1,2.19371,138557238
7,89,89,1,1,2.15825,139318400
7,89,97,0,1,2.20436,138555482
7,89,97,1,1,2.16963,139589169
7,97,1,0,1,2.24823,138562131
7,97,1,1,1,2.20126,139159061
7,97,9,0,1,2.23284,139331251
7,97,9,1,1,2.18816,139447605
7,97,17,0,1,2.22175,138999567
7,97,17,1,1,2.1783,139496797
7,97,25,0,1,2.21285,139025854
7,97,25,1,1,2.17062,139454134
7,97,33,0,1,2.20569,138743875
7,97,33,1,1,2.16456,139308571
7,97,41,0,1,2.19987,139425392
7,97,41,1,1,2.1598,139178526
7,97,49,0,1,2.19523,138578776
7,97,49,1,1,2.15622,139372260
7,97,57,0,1,2.19152,138613848
7,97,57,1,1,2.15354,139308057
7,97,65,0,1,2.18947,138580466
7,97,65,1,1,2.15218,139052395
7,97,73,0,1,2.18838,138444610
7,97,73,1,1,2.15208,139191412
7,97,81,0,1,2.1896,139035342
7,97,81,1,1,2.15349,139534126
7,97,89,0,1,2.19327,138569747
7,97,89,1,1,2.15794,139301645
7,97,97,0,1,2.20389,138975998
7,97,97,1,1,2.1693,139573943
8,1,1,0,1,2.33972,149011249
8,1,1,1,1,2.25605,148528269
8,1,9,0,1,2.20327,146918577
8,1,9,1,1,2.13213,147756981
8,1,17,0,1,2.14237,146575461
8,1,17,1,1,2.0774,147482076
8,1,25,0,1,2.10202,146740861
8,1,25,1,1,2.04174,148323225
8,1,33,0,1,2.07431,147756632
8,1,33,1,1,2.01511,148647969
8,1,41,0,1,2.05103,147450382
8,1,41,1,1,1.99438,148543428
8,1,49,0,1,2.03241,146656913
8,1,49,1,1,1.978,147416089
8,1,57,0,1,2.01768,146619519
8,1,57,1,1,1.96505,147584472
8,1,65,0,1,2.00612,146565767
8,1,65,1,1,1.95538,147629529
8,1,73,0,1,1.99798,146760842
8,1,73,1,1,1.94902,147365749
8,1,81,0,1,1.99491,146609403
8,1,81,1,1,1.94639,147767532
8,1,89,0,1,1.99572,146790270
8,1,89,1,1,1.94868,147597574
8,1,97,0,1,2.00896,146775376
8,1,97,1,1,1.96326,147444084
8,9,1,0,1,2.25359,146632721
8,9,1,1,1,2.17823,147459535
8,9,9,0,1,2.17063,146749664
8,9,9,1,1,2.1028,147435011
8,9,17,0,1,2.12236,146565959
8,9,17,1,1,2.05948,147587898
8,9,25,0,1,2.08813,146607915
8,9,25,1,1,2.02935,147436913
8,9,33,0,1,2.06415,147551163
8,9,33,1,1,2.00614,147487551
8,9,41,0,1,2.04336,146789827
8,9,41,1,1,1.98762,147549413
8,9,49,0,1,2.02657,146795342
8,9,49,1,1,1.97288,147483732
8,9,57,0,1,2.01313,146610466
8,9,57,1,1,1.96116,147672164
8,9,65,0,1,2.0034,147395437
8,9,65,1,1,1.95243,147474339
8,9,73,0,1,1.99532,146662910
8,9,73,1,1,1.94678,147645982
8,9,81,0,1,1.99282,146891342
8,9,81,1,1,1.94471,147443397
8,9,89,0,1,1.99411,146818877
8,9,89,1,1,1.94735,147475586
8,9,97,0,1,2.00762,146693008
8,9,97,1,1,1.96212,147601408
8,17,1,0,1,2.2122,146643338
